GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PauseCmd,72,0,2,0,13,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,StopCmd,45,0,0,0,11,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PlaynextCmd,116,0,10,0,17,0,8,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,MoveTrackCmd,154,0,12,0,36,0,9,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,SkiptoCmd,115,0,4,0,21,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.audio,PlayerManager,65,0,4,0,18,0,7,0,5,0
JMusicBot,com.jagrosh.jmusicbot.audio,AudioHandler,672,0,68,0,111,0,55,0,21,0
JMusicBot,com.jagrosh.jmusicbot.audio,QueuedTrack,55,0,0,0,9,0,5,0,5,0
JMusicBot,com.jagrosh.jmusicbot.audio,NowplayingHandler,334,0,34,0,63,0,30,0,13,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetlistenCmd,88,0,4,0,17,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,ShutdownCmd,29,0,0,0,10,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd,125,0,6,0,16,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetnameCmd,85,0,0,0,16,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.ListCmd,126,0,8,0,20,0,7,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.MakelistCmd,96,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.AppendlistCmd,189,0,10,0,29,0,8,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetstreamCmd,97,0,2,0,17,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.DeletelistCmd,96,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,EvalCmd,90,0,0,0,18,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetwatchCmd,76,0,2,0,17,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,AutoplaylistCmd,138,0,6,0,23,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetstatusCmd,67,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,DebugCmd,276,0,6,0,42,0,6,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.DefaultlistCmd,24,0,0,0,7,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetavatarCmd,124,0,8,0,22,0,8,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd,132,0,4,0,15,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.utils,OtherUtil,384,0,58,0,63,0,40,0,11,0
JMusicBot,com.jagrosh.jmusicbot.utils,FormatUtil,356,0,36,0,44,0,26,0,8,0
JMusicBot,com.jagrosh.jmusicbot.gui,TextAreaOutputStream,95,0,6,0,25,0,12,0,9,0
JMusicBot,com.jagrosh.jmusicbot.gui,GUI.new WindowListener() {...},21,0,0,0,12,0,8,0,8,0
JMusicBot,com.jagrosh.jmusicbot.gui,TextAreaOutputStream.Appender,146,0,12,0,42,0,14,0,8,0
JMusicBot,com.jagrosh.jmusicbot.gui,GUI,47,0,0,0,14,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.gui,ConsolePanel,53,0,0,0,14,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.Playlist.new AudioLoadResultHandler() {...},239,0,16,0,37,0,17,0,9,0
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader,260,0,20,0,47,0,22,0,12,0
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.Playlist,92,0,6,0,22,0,10,0,7,0
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.PlaylistLoadError,24,0,0,0,8,0,4,0,4,0
JMusicBot,com.jagrosh.jmusicbot.queue,FairQueue,257,0,22,0,49,0,25,0,14,0
JMusicBot,com.jagrosh.jmusicbot.commands,AdminCommand,38,0,4,0,9,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands,MusicCommand,202,0,28,0,36,0,16,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands,OwnerCommand,12,0,0,0,4,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands,DJCommand,72,0,12,0,12,0,9,0,3,0
